codigo,promedio_acumulado_programa_principal(pam),promedio_semestral_programa_principal(pcp),creditos_inscritos,participacion_total,cluster,perfil
c10434hi136420o,3.8,3.42,20,8.0,0,Perfil 1
c104354mr2105u,4.33,4.39,18,31.0,0,Perfil 1
c104357an52284w,4.44,4.34,17,3.0,0,Perfil 1
c104373cw284166s,4.06,4.06,25,4.0,0,Perfil 1
c10440ki414413k,4.03,4.58,13,0.0,0,Perfil 1
c104413zp407398w,4.13,4.37,16,4.0,0,Perfil 1
c104414tr49392a,4.13,3.9,12,23.0,0,Perfil 1
c10441xp220186h,3.41,3.41,19,5.0,1,Perfil 2
c104440ch188337w,4.14,4.51,17,10.0,0,Perfil 1
c104440lj390379m,3.87,5.0,0,0.0,0,Perfil 1
c10444sp36109g,4.28,4.9,14,0.0,0,Perfil 1
c104457oi145358p,3.94,4.2,17,6.0,0,Perfil 1
c104479pv269304p,4.21,4.42,16,9.0,0,Perfil 1
c104488kn335193a,4.31,4.44,0,0.0,0,Perfil 1
c104489yo333191p,4.2,2.4,0,0.0,1,Perfil 2
c10459kg364220x,3.76,3.76,13,0.0,0,Perfil 1
c10460cp31892y,4.34,4.34,17,10.0,0,Perfil 1
c10464br32714g,3.84,4.8,0,1.0,0,Perfil 1
c10464ei24485s,3.76,4.5,0,15.0,0,Perfil 1
c10469kw324160w,4.11,4.15,26,13.0,0,Perfil 1
c10471hj393362n,2.86,2.67,0,0.0,1,Perfil 2
c10474kr28951e,4.44,4.63,18,1.0,0,Perfil 1
c1047dc25188l,3.43,3.43,0,4.0,1,Perfil 2
c105101ge4419l,4.2,4.28,18,12.0,0,Perfil 1
c105104ko434150n,4.04,4.37,32,8.0,0,Perfil 1
c105153er19488b,3.04,2.55,17,0.0,1,Perfil 2
c105156bj421304t,3.34,3.34,16,0.0,1,Perfil 2
c105185ba412193d,3.48,3.93,16,5.0,0,Perfil 1
c105188ch43344b,3.13,3.01,20,2.0,1,Perfil 2
c105196vu375108l,4.12,4.2,0,5.0,0,Perfil 1
c105213mp41742b,4.32,4.32,14,0.0,0,Perfil 1
c105228yv25108e,2.96,2.96,16,8.0,1,Perfil 2
c105230qn23012r,3.91,4.0,0,17.0,0,Perfil 1
c105231za339231b,3.65,3.76,16,1.0,0,Perfil 1
c105237hk456417d,3.52,4.1,18,1.0,0,Perfil 1
c105242md456283q,3.54,3.9,0,51.0,0,Perfil 1
c105249jx440144n,2.78,2.78,0,1.0,1,Perfil 2
c105252ns294324a,4.04,4.7,18,11.0,0,Perfil 1
c105255ih324202b,3.83,5.0,16,9.0,0,Perfil 1
c105258hk36131h,4.28,4.4,14,2.0,0,Perfil 1
c105264kl181182u,4.07,4.46,0,22.0,0,Perfil 1
c105268js446290p,3.88,5.0,16,4.0,0,Perfil 1
c105282gm271410y,4.13,4.42,0,10.0,0,Perfil 1
c105287tu264500z,3.99,3.82,0,1.0,0,Perfil 1
c105296kc77452w,4.05,4.55,0,6.0,0,Perfil 1
c105297ld288113u,3.46,3.39,21,0.0,1,Perfil 2
c105301jt343320j,3.83,4.42,0,9.0,0,Perfil 1
c105310tl426445g,3.92,4.2,19,16.0,0,Perfil 1
c105316kq228404c,3.63,3.3,0,9.0,1,Perfil 2
c105323ok233396n,4.28,4.5,0,1.0,0,Perfil 1
c105334fr143407v,3.92,4.85,0,8.0,0,Perfil 1
c105359bh266446l,3.72,3.1,0,15.0,0,Perfil 1
c105363gn236229c,4.25,4.82,0,76.0,0,Perfil 1
c105373ik8855v,4.24,4.8,0,4.0,0,Perfil 1
c10537on402250u,4.15,4.6,0,12.0,0,Perfil 1
c105387qi132219p,3.64,4.04,32,15.0,0,Perfil 1
c105391pb87387h,3.0,3.0,20,0.0,1,Perfil 2
c105393di280287w,3.57,3.75,11,8.0,0,Perfil 1
c105399vp456115d,4.52,4.55,8,9.0,0,Perfil 1
c1053ap333124o,3.94,5.0,14,0.0,0,Perfil 1
c105405oy18911t,2.38,2.38,0,1.0,1,Perfil 2
c105406xu38984d,4.07,4.07,16,7.0,0,Perfil 1
c105409uv500425z,4.17,4.17,0,1.0,0,Perfil 1
c105418jw75275x,3.72,3.72,0,3.0,0,Perfil 1
c105421qp11375x,3.79,3.4,17,20.0,0,Perfil 1
c105424jj348113c,4.29,4.57,0,10.0,0,Perfil 1
c105427ay3388a,4.4,4.4,0,0.0,0,Perfil 1
c105439yy14712g,4.01,4.1,16,3.0,0,Perfil 1
c105445sc246480j,3.84,3.78,20,8.0,0,Perfil 1
c105448qr28742c,3.97,4.28,0,2.0,0,Perfil 1
c105472sq191146o,3.81,4.6,13,0.0,0,Perfil 1
c10556wr34710y,3.84,4.9,0,3.0,0,Perfil 1
c10568qb379279z,3.15,3.38,21,6.0,1,Perfil 2
c10568yr78466v,3.14,3.36,0,4.0,1,Perfil 2
c10573et454489f,3.83,4.1,0,0.0,0,Perfil 1
c10575kn325218h,3.66,3.85,22,4.0,0,Perfil 1
c10577fb463242q,3.88,4.46,0,8.0,0,Perfil 1
c1058iz180261b,3.81,4.17,0,2.0,0,Perfil 1
c10592as420131r,4.43,4.5,16,22.0,0,Perfil 1
c10594sk260327r,4.26,4.8,0,16.0,0,Perfil 1
c106103vn285161e,3.65,4.3,13,2.0,0,Perfil 1
c106114if271361r,2.81,2.81,20,0.0,1,Perfil 2
c106119wf455433o,3.47,3.95,0,6.0,0,Perfil 1
c106126wr56481s,4.14,4.45,0,8.0,0,Perfil 1
c106136pp50303f,3.69,4.7,0,11.0,0,Perfil 1
c106137bo82174f,3.85,4.04,0,18.0,0,Perfil 1
c10613pc37332t,4.06,4.31,15,1.0,0,Perfil 1
c106141uw4145e,4.44,5.0,12,0.0,0,Perfil 1
c106152qm104462d,3.83,4.01,0,18.0,0,Perfil 1
c106156sq412367i,4.06,4.9,18,0.0,0,Perfil 1
c106163qv56484s,3.69,4.0,14,3.0,0,Perfil 1
c106163th154212z,4.11,3.85,0,2.0,0,Perfil 1
c106188vs456232d,4.51,4.38,8,9.0,0,Perfil 1
c10619mh210290d,3.89,4.9,0,1.0,0,Perfil 1
c106217aa261208i,3.74,3.21,0,0.0,1,Perfil 2
c106217kt17954k,4.14,3.84,20,18.0,0,Perfil 1
c106220oe25340q,3.6,4.12,18,0.0,0,Perfil 1
c106225hl42222e,3.6,3.9,0,6.0,0,Perfil 1
c106233jw15448r,4.25,4.35,16,15.0,0,Perfil 1
c106249mo492397d,4.05,4.97,0,0.0,0,Perfil 1
c10625sn494314f,4.6,4.6,0,0.0,0,Perfil 1
c106263fd410358h,3.9,3.9,19,4.0,0,Perfil 1
c106267ww264354l,4.55,4.17,0,13.0,0,Perfil 1
c10626pe213443e,3.88,3.71,0,4.0,0,Perfil 1
c106285rh202445w,3.86,4.07,19,29.0,0,Perfil 1
c106298uu188492z,2.97,2.26,18,9.0,1,Perfil 2
c106322qv376371c,4.35,4.8,0,0.0,0,Perfil 1
c106333hi113221z,3.9,4.83,19,4.0,0,Perfil 1
c106339vp75318k,4.22,4.3,18,13.0,0,Perfil 1
c106340pw87425t,4.14,4.55,0,24.0,0,Perfil 1
c106358oz273110e,3.48,4.9,0,11.0,0,Perfil 1
c106361iy209497k,3.62,4.1,16,0.0,0,Perfil 1
